ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,cum_pct,tier,flag_multimodal,flag_outliers,decision,lump_into,notes
Terrestrial,Soil O Horizon (Organic),,,,"River, stream, canal",Water surface,mg/kg (dry),,75,24,1,0.9878,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Euchaeta glacialis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,76,23,1,0.988,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Crustaceans,Euchaeta norvegica,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,77,23,2,0.9883,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Liver,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,78,23,1,0.9885,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Salmo trutta,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),River trout,79,22,1,0.9887,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Muscle,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,80,22,1,0.989,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Skin,Bare land and lichen/moss,Other,mg/kg (wet),Pacific walrus,81,22,1,0.9892,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Clupea harengus,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),Atlantic herring,82,21,1,0.9894,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Fish,Limanda limanda,Liver,"Coastal, fjord",Not reported,mg/kg (wet),Common dab,83,21,1,0.9896,top99,FALSE,FALSE,,,
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),Blue mussel,84,21,1,0.9898,top99,FALSE,FALSE,,,
