group_id,ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,species_common_name,rank,n,n_sources,dip_p,cum_pct,tier,flag_multimodal,flag_outliers,notebook,decision,lump_into,notes
G089-Bf-Lnr-C-lav-Gil-Md,Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),Common whitefish,95,19,1,0.410217408295084,0.9909,tail,FALSE,FALSE,Fish,,,
G090-Bf-Lnr-T-thy-Gil-Md,Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),Grayling,96,19,1,0.00399723188601242,0.9911,tail,TRUE,FALSE,Fish,,,
G091-Bf-Lnr-T-thy-Liv-Mw,Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Grayling,97,19,1,0.9621657692421436,0.9913,tail,FALSE,TRUE,Fish,,,
G092-Bf-Lnr-T-thy-Mus-Mw,Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Grayling,98,19,1,0.24176080181277515,0.9915,tail,FALSE,FALSE,Fish,,,
G093-Bi-Cnv-S-dro-Tsg-Md,Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus droebachiensis,Total soft tissues minus gonads,"Coastal, fjord",Not relevant,mg/kg (dry),Green sea urchin,99,19,1,,0.9917,tail,FALSE,FALSE,Crustaceans and Invertebrates,,,
G094,Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Whole body,,,mg/kg (wet),Northern shrimp,100,18,1,,0.9919,tail,FALSE,FALSE,Crustaceans and Invertebrates,,,
G095-Bf-Lnr-S-alp-Mus-Mw,Biota,"Biota, Aquatic",Fish,Salvelinus alpinus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),Arctic char,101,18,1,0.3906388321080128,0.9921,tail,FALSE,TRUE,Fish,,,
G096-Wsd-Dws-Md,Aquatic,Aquatic Sediment,,,,"Drainage, sewer, artificial water",Water surface,mg/kg (dry),,102,17,1,,0.9922,tail,FALSE,FALSE,Aquatic Sediment,,,
G097-Bc-Owc-S-sar-Wbd-Md,Biota,"Biota, Aquatic",Crustaceans,Sabinea sarsi,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),,103,17,1,,0.9924,tail,FALSE,FALSE,Crustaceans and Invertebrates,,,
G098-Bl-Owb-M-are-Tst-Md,Biota,"Biota, Aquatic",Molluscs,Mya arenaria,Total soft tissues,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),Large-neck clam,104,17,1,,0.9926,tail,FALSE,FALSE,Molluscs,,,
