ENVIRON_COMPARTMENT,ENVIRON_COMPARTMENT_SUB,SPECIES_GROUP,SAMPLE_SPECIES,SAMPLE_TISSUE,SITE_GEOGRAPHIC_FEATURE,SITE_GEOGRAPHIC_FEATURE_SUB,MEASURED_UNIT_STANDARD,group_id
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G084-Bl-Cnr-M-edu-Wbd-Mw
Biota,"Biota, Aquatic",Fish,Blicca bjoerkna,Gill,"River, stream, canal",Not reported,mg/kg (dry),G085-Bf-Rnr-B-bjo-Gil-Md
Biota,"Biota, Aquatic",Fish,Lota lota,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G086-Bf-Lnr-L-lot-Liv-Mw
Biota,"Biota, Aquatic",Fish,Reinhardtius hippoglossoides,Whole body,,,mg/kg (wet),G087
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),G088-Bl-Cwb-M-edu-Tst-Md
Biota,"Biota, Aquatic",Fish,Coregonus lavaretus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),G089-Bf-Lnr-C-lav-Gil-Md
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),G090-Bf-Lnr-T-thy-Gil-Md
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G091-Bf-Lnr-T-thy-Liv-Mw
Biota,"Biota, Aquatic",Fish,Thymallus thymallus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G092-Bf-Lnr-T-thy-Mus-Mw
Biota,"Biota, Aquatic",Invertebrates,Strongylocentrotus droebachiensis,Total soft tissues minus gonads,"Coastal, fjord",Not relevant,mg/kg (dry),G093-Bi-Cnv-S-dro-Tsg-Md
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Whole body,,,mg/kg (wet),G094
Biota,"Biota, Aquatic",Fish,Salvelinus alpinus,Muscle,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G095-Bf-Lnr-S-alp-Mus-Mw
Aquatic,Aquatic Sediment,,,,"Drainage, sewer, artificial water",Water surface,mg/kg (dry),G096-Wsd-Dws-Md
Biota,"Biota, Aquatic",Crustaceans,Sabinea sarsi,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G097-Bc-Owc-S-sar-Wbd-Md
Biota,"Biota, Aquatic",Molluscs,Mya arenaria,Total soft tissues,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G098-Bl-Owb-M-are-Tst-Md
Biota,"Biota, Aquatic",Crustaceans,Carcinus maenas,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G099-Bc-Cnr-C-mae-Tst-Mw
Biota,"Biota, Aquatic",Molluscs,Patella vulgata,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G100-Bl-Cnr-P-vul-Wbd-Mw
Terrestrial,Soil O Horizon (Organic),,,,"Drainage, sewer, artificial water",Water surface,mg/kg (dry),G101-Eso-Dws-Md
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G102-Bc-Cnr-P-bor-Tst-Mw
Biota,"Biota, Aquatic",Fish,Blicca bjoerkna,Liver,"River, stream, canal",Not reported,mg/kg (wet),G103-Bf-Rnr-B-bjo-Liv-Mw
Biota,"Biota, Aquatic",Fish,Melanogrammus aeglefinus,Liver,"Coastal, fjord",Not reported,mg/kg (dry),G104-Bf-Cnr-M-aeg-Liv-Md
Biota,"Biota, Aquatic",Fish,Salmo trutta,Muscle,"River, stream, canal",Not reported,mg/kg (wet),G105-Bf-Rnr-S-tru-Mus-Mw
Biota,"Biota, Aquatic",Fish,Abramis brama,Gill,"River, stream, canal",Not reported,mg/kg (dry),G106-Bf-Rnr-A-bra-Gil-Md
Biota,"Biota, Aquatic",Fish,Abramis brama,Liver,"River, stream, canal",Not reported,mg/kg (wet),G107-Bf-Rnr-A-bra-Liv-Mw
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus rosmarus,Skin,Bare land and lichen/moss,Other,mg/kg (wet),G108-Bm-Mot-O-rmr-Skn-Mw
Biota,"Biota, Aquatic",Crustaceans,Pandalus borealis,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G109-Bc-Cnr-P-bor-Mus-Mw
Biota,"Biota, Aquatic",Crustaceans,Thysanoessa inermis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G110-Bc-Owc-T-ine-Wbd-Md
Biota,"Biota, Aquatic",Fish,Gymnocephalus cernuus,Liver,"Lake, pond, pool, reservoir",Not reported,mg/kg (wet),G111-Bf-Lnr-G-cer-Liv-Mw
Biota,"Biota, Aquatic",Fish,Sander lucioperca,Gill,"River, stream, canal",Not reported,mg/kg (dry),G112-Bf-Rnr-S-luc-Gil-Md
Biota,"Biota, Aquatic",Fish,Symphodus melops,Whole body,"Coastal, fjord",Not reported,mg/kg (wet),G113-Bf-Cnr-S-mel-Wbd-Mw
Aquatic,Sludge,,,,WWTP,Other,mg/kg (wet),G114-Wsl-Pot-Mw
Biota,"Biota, Aquatic",Crustaceans,Euchaeta barbata,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G115-Bc-Owc-E-bar-Wbd-Md
Biota,"Biota, Aquatic",Fish,Salmo trutta,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),G116-Bf-Lnr-S-tru-Gil-Md
Biota,"Biota, Aquatic",Fish,Salmo trutta,Gill,"River, stream, canal",Other,mg/kg (wet),G117-Bf-Rot-S-tru-Gil-Mw
Biota,"Biota, Aquatic",Fish,Salmo trutta,Kidney,"River, stream, canal",Other,mg/kg (wet),G118-Bf-Rot-S-tru-Kid-Mw
Biota,"Biota, Aquatic",Fish,Salmo trutta,Liver,"River, stream, canal",Other,mg/kg (wet),G119-Bf-Rot-S-tru-Liv-Mw
Biota,"Biota, Aquatic",Fish,Sander lucioperca,Liver,"River, stream, canal",Not reported,mg/kg (wet),G120-Bf-Rnr-S-luc-Liv-Mw
Aquatic,Wastewater,,,,WWTP,Other,mg/L,G121-Www-Pot-C
Biota,"Biota, Aquatic",Mammals,Odobenus rosmarus divergens,Heart,Bare land and lichen/moss,Other,mg/kg (wet),G122-Bm-Mot-O-rmd-Hea-Mw
Biota,"Biota, Aquatic",Worms,Arenicola marina,Total soft tissues,"Coastal, fjord",Water benthos,mg/kg (dry),G123-Br-Cwb-A-mar-Tst-Md
Biota,"Biota, Aquatic",Algae,Fucus vesiculosus,Shoot tips,"Coastal, fjord",Not relevant,mg/kg (dry),G124-Ba-Cnv-F-ves-Sti-Md
Biota,"Biota, Aquatic",Fish,Salvelinus alpinus,Gill,"Lake, pond, pool, reservoir",Not reported,mg/kg (dry),G125-Bf-Lnr-S-alp-Gil-Md
Biota,"Biota, Aquatic",Molluscs,Littorina,Total soft tissues,"Coastal, fjord",Not reported,mg/kg (wet),G126-Bl-Cnr-Litt-Tst-Mw
Biota,"Biota, Aquatic",,,,"Ocean, sea, territorial waters",Other,mg/kg (dry),G127
Aquatic,Aquatic Sediment,,,,"Ocean, sea, territorial waters",Other,mg/kg (dry),G128-Wsd-Oot-Md
Biota,"Biota, Aquatic",Crustaceans,Calanus glacialis,Whole body,"Ocean, sea, territorial waters","Water column, pelagic zone",mg/kg (dry),G129-Bc-Owc-C-gla-Wbd-Md
Biota,"Biota, Aquatic",Fish,Salmo salar,Whole body,,,mg/kg (wet),G131
Biota,"Biota, Aquatic",Molluscs,Mytilus edulis,Total soft tissues,"River, stream, canal",Not reported,mg/kg (wet),G132-Bl-Rnr-M-edu-Tst-Mw
Aquatic,Aquatic Sediment,,,,"Groundwater, aquifer",Water benthos,mg/kg (dry),G133-Wsd-Gwb-Md
Aquatic,Aquatic Sediment,,,,"Ocean, sea, territorial waters",Other,mg/kg (wet),G134-Wsd-Oot-Mw
Aquatic,Aquatic Sediment,,,,"River, stream, canal","Water column, pelagic zone",mg/L,G135-Wsd-Rwc-C
Aquatic,Porewater,,,,"Ocean, sea, territorial waters",Other,mg/kg (wet),G136-Wpw-Oot-Mw
Biota,"Biota, Aquatic",Fish,Merlangius merlangus,Liver,"Coastal, fjord",Not reported,mg/kg (dry),G137-Bf-Cnr-M-mer-Liv-Md
Biota,"Biota, Aquatic",Invertebrates,Heliometra glacialis,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G138-Bi-Owb-He-gla-Dsk-Md
Biota,"Biota, Aquatic",Fish,Brosme brosme,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G139-Bf-Cnr-B-bro-Mus-Mw
Biota,"Biota, Aquatic",Fish,Pleuronectes platessa,Liver,"Coastal, fjord",Not reported,mg/kg (wet),G140-Bf-Cnr-P-pla-Liv-Mw
Biota,"Biota, Aquatic",Fish,Pleuronectes platessa,Muscle,"Coastal, fjord",Not reported,mg/kg (wet),G141-Bf-Cnr-P-pla-Mus-Mw
Biota,"Biota, Aquatic",Fish,Rutilus rutilus,Gill,"River, stream, canal",Not reported,mg/kg (dry),G142-Bf-Rnr-R-rut-Gil-Md
Biota,"Biota, Aquatic",Fish,Rutilus rutilus,Liver,"River, stream, canal",Not reported,mg/kg (wet),G143-Bf-Rnr-R-rut-Liv-Mw
Biota,"Biota, Aquatic",Invertebrates,Ctenodiscus crispatus,Disc skeleton,"Ocean, sea, territorial waters",Water benthos,mg/kg (dry),G144-Bi-Owb-C-cri-Dsk-Md
